id,company_name,address,employee_count
1,トヨタ自動車株式会社,愛知県豊田市,370000
2,ソニー株式会社,東京都港区,111700
3,ホンダ株式会社,東京都港区,215638
4,パナソニック株式会社,大阪府門真市,259385
5,日本電気株式会社,東京都港区,102675
6,富士通株式会社,神奈川県川崎市,132138
7,シャープ株式会社,大阪府堺市,26458
8,日産自動車株式会社,神奈川県横浜市,138910
9,キヤノン株式会社,東京都大田区,183065
10,三菱電機株式会社,東京都千代田区,145817
11,株式会社リコー,東京都大田区,88006
12,日本IBM株式会社,東京都港区,33233
13,東京エレクトロン株式会社,東京都港区,12069
14,日本航空株式会社,東京都品川区,39000
15,ヤマハ株式会社,静岡県浜松市,31400
16,日立製作所,東京都千代田区,295941
17,東芝株式会社,東京都港区,127065
18,三井物産株式会社,東京都千代田区,44445
19,伊藤忠商事株式会社,東京都港区,14000
20,楽天グループ株式会社,東京都世田谷区,17623
21,日本郵船株式会社,東京都千代田区,14818
22,川崎重工業株式会社,兵庫県神戸市,34543
23,大和ハウス工業株式会社,大阪府大阪市,27000
24,積水ハウス株式会社,大阪府大阪市,22000
25,日本製鉄株式会社,東京都千代田区,70000
26,ソフトバンク株式会社,東京都港区,22000
27,ファーストリテイリング,山口県山口市,56000
28,日本たばこ産業株式会社,東京都港区,46000
29,オリックス株式会社,東京都港区,31000
30,三井住友銀行,東京都千代田区,57000
